Name,Slug,Description
Templates,templates,"Ready-to-use templates and starting points"
System,system,"System-level prompts and configurations"
Beginner,beginner,"Content suitable for beginners and learning"
Advanced,advanced,"Advanced techniques and deep dives"
Framework,framework,"Structured frameworks and methodologies"
Best Practices,best-practices,"Proven best practices and recommendations"
Tools,tools,"Tools, utilities, and resources"
Strategy,strategy,"Strategic planning and decision-making"
Troubleshooting,troubleshooting,"Problem-solving and debugging guides"
Case Study,case-study,"Real-world examples and case studies"
API,api,"Application Programming Interface related content"
Design,design,"Design patterns, principles, and methodologies"
Architecture,architecture,"System architecture and design approaches"
Testing,testing,"Testing methodologies and quality assurance"
Customer,customer,"Customer-focused content and research"
Organization,organization,"Organization and structure methods"
Knowledge,knowledge,"Knowledge management and documentation"
Meetings,meetings,"Meeting facilitation and management"
