Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Summary,Category,Tags,Latest version,Status,Download link full,Download link summary,Download link bundle
API Design Principles,api-design-principles,6918a7483d8465a21967f77f,6918a642b8cc57edec02f63f,6918aa2b86702b2d22866194,false,false,Sat Nov 15 2025 16:28:27 GMT+0000 (Coordinated Universal Time),Sat Nov 15 2025 16:28:27 GMT+0000 (Coordinated Universal Time),Sat Nov 15 2025 16:29:21 GMT+0000 (Coordinated Universal Time),"Core principles for designing clean, scalable REST APIs",,,1,published,https://fhuocowvfrwjygxgzelw.supabase.co/storage/v1/object/public/modules/api-design-principles/v1/full.md,https://fhuocowvfrwjygxgzelw.supabase.co/storage/v1/object/public/modules/api-design-principles/v1/summary.md,https://fhuocowvfrwjygxgzelw.supabase.co/storage/v1/object/public/modules/api-design-principles/v1/bundle.zip
Content Strategy Guide,content-strategy-guide,6918a7483d8465a21967f77f,6918a642b8cc57edec02f63f,6918aa2b62dfb2e1c45a02d6,false,false,Sat Nov 15 2025 16:28:27 GMT+0000 (Coordinated Universal Time),Sat Nov 15 2025 16:28:27 GMT+0000 (Coordinated Universal Time),Sat Nov 15 2025 16:29:21 GMT+0000 (Coordinated Universal Time),Comprehensive guide to developing and executing content strategies,,,1,draft,https://fhuocowvfrwjygxgzelw.supabase.co/storage/v1/object/public/modules/content-strategy-guide/v1/full.md,https://fhuocowvfrwjygxgzelw.supabase.co/storage/v1/object/public/modules/content-strategy-guide/v1/summary.md,https://fhuocowvfrwjygxgzelw.supabase.co/storage/v1/object/public/modules/content-strategy-guide/v1/bundle.zip
Customer Research Methods,customer-research-methods,6918a7483d8465a21967f77f,6918a642b8cc57edec02f63f,6918aa2cb3633b14d8668909,false,false,Sat Nov 15 2025 16:28:28 GMT+0000 (Coordinated Universal Time),Sat Nov 15 2025 16:28:28 GMT+0000 (Coordinated Universal Time),Sat Nov 15 2025 16:29:21 GMT+0000 (Coordinated Universal Time),Methods for conducting effective customer research and interviews,,,1,draft,https://fhuocowvfrwjygxgzelw.supabase.co/storage/v1/object/public/modules/customer-research-methods/v1/full.md,https://fhuocowvfrwjygxgzelw.supabase.co/storage/v1/object/public/modules/customer-research-methods/v1/summary.md,https://fhuocowvfrwjygxgzelw.supabase.co/storage/v1/object/public/modules/customer-research-methods/v1/bundle.zip
Debugging Best Practices,debugging-best-practices,6918a7483d8465a21967f77f,6918a642b8cc57edec02f63f,6918aa2b9ea719ba8b60fa22,false,false,Sat Nov 15 2025 16:28:27 GMT+0000 (Coordinated Universal Time),Sat Nov 15 2025 16:28:27 GMT+0000 (Coordinated Universal Time),Sat Nov 15 2025 16:29:21 GMT+0000 (Coordinated Universal Time),Essential techniques and patterns for effective software debugging,,,1,published,https://fhuocowvfrwjygxgzelw.supabase.co/storage/v1/object/public/modules/debugging-best-practices/v1/full.md,https://fhuocowvfrwjygxgzelw.supabase.co/storage/v1/object/public/modules/debugging-best-practices/v1/summary.md,https://fhuocowvfrwjygxgzelw.supabase.co/storage/v1/object/public/modules/debugging-best-practices/v1/bundle.zip
Decision Making Framework,decision-making-framework,6918a7483d8465a21967f77f,6918a642b8cc57edec02f63f,6918aa2cef6aa64b911032a1,false,false,Sat Nov 15 2025 16:28:28 GMT+0000 (Coordinated Universal Time),Sat Nov 15 2025 16:28:28 GMT+0000 (Coordinated Universal Time),Sat Nov 15 2025 16:29:21 GMT+0000 (Coordinated Universal Time),Structured approach to making complex business and technical decisions,,,1,draft,https://fhuocowvfrwjygxgzelw.supabase.co/storage/v1/object/public/modules/decision-making-framework/v1/full.md,https://fhuocowvfrwjygxgzelw.supabase.co/storage/v1/object/public/modules/decision-making-framework/v1/summary.md,https://fhuocowvfrwjygxgzelw.supabase.co/storage/v1/object/public/modules/decision-making-framework/v1/bundle.zip
Knowledge Management System,knowledge-management-system,6918a7483d8465a21967f77f,6918a642b8cc57edec02f63f,6918aa2c28294f9ef33ba3ee,false,false,Sat Nov 15 2025 16:28:28 GMT+0000 (Coordinated Universal Time),Sat Nov 15 2025 16:28:28 GMT+0000 (Coordinated Universal Time),Sat Nov 15 2025 16:29:21 GMT+0000 (Coordinated Universal Time),Best practices for building personal and team knowledge bases,,system,1,published,https://fhuocowvfrwjygxgzelw.supabase.co/storage/v1/object/public/modules/knowledge-management-system/v1/full.md,https://fhuocowvfrwjygxgzelw.supabase.co/storage/v1/object/public/modules/knowledge-management-system/v1/summary.md,https://fhuocowvfrwjygxgzelw.supabase.co/storage/v1/object/public/modules/knowledge-management-system/v1/bundle.zip
Meeting Notes Template,meeting-notes-template,6918a7483d8465a21967f77f,6918a642b8cc57edec02f63f,6918aa2b4e612d8ceb4c49af,false,false,Sat Nov 15 2025 16:28:27 GMT+0000 (Coordinated Universal Time),Sat Nov 15 2025 16:28:27 GMT+0000 (Coordinated Universal Time),Sat Nov 15 2025 16:29:21 GMT+0000 (Coordinated Universal Time),Standardized template for capturing and organizing meeting information,,templates,1,published,https://fhuocowvfrwjygxgzelw.supabase.co/storage/v1/object/public/modules/meeting-notes-template/v1/full.md,https://fhuocowvfrwjygxgzelw.supabase.co/storage/v1/object/public/modules/meeting-notes-template/v1/summary.md,https://fhuocowvfrwjygxgzelw.supabase.co/storage/v1/object/public/modules/meeting-notes-template/v1/bundle.zip
Research Framework,research-framework,6918a7483d8465a21967f77f,6918a642b8cc57edec02f63f,6918aa2bc08fb4be3ded4d44,false,false,Sat Nov 15 2025 16:28:27 GMT+0000 (Coordinated Universal Time),Sat Nov 15 2025 16:28:27 GMT+0000 (Coordinated Universal Time),Sat Nov 15 2025 16:29:21 GMT+0000 (Coordinated Universal Time),Framework for conducting thorough research and documentation,,,1,published,https://fhuocowvfrwjygxgzelw.supabase.co/storage/v1/object/public/modules/research-framework/v1/full.md,https://fhuocowvfrwjygxgzelw.supabase.co/storage/v1/object/public/modules/research-framework/v1/summary.md,https://fhuocowvfrwjygxgzelw.supabase.co/storage/v1/object/public/modules/research-framework/v1/bundle.zip
System Prompt Template,system-prompt-template,6918a7483d8465a21967f77f,6918a642b8cc57edec02f63f,6918aa2bcd43f5d2e49bb636,false,false,Sat Nov 15 2025 16:28:27 GMT+0000 (Coordinated Universal Time),Sat Nov 15 2025 16:28:27 GMT+0000 (Coordinated Universal Time),Sat Nov 15 2025 16:29:21 GMT+0000 (Coordinated Universal Time),A flexible template for creating effective system prompts for AI assistants,,templates; system; beginner,1,published,https://fhuocowvfrwjygxgzelw.supabase.co/storage/v1/object/public/modules/system-prompt-template/v1/full.md,https://fhuocowvfrwjygxgzelw.supabase.co/storage/v1/object/public/modules/system-prompt-template/v1/summary.md,https://fhuocowvfrwjygxgzelw.supabase.co/storage/v1/object/public/modules/system-prompt-template/v1/bundle.zip
Testing Strategy Template,testing-strategy-template,6918a7483d8465a21967f77f,6918a642b8cc57edec02f63f,6918aa2c1f65c4e67a63d933,false,false,Sat Nov 15 2025 16:28:28 GMT+0000 (Coordinated Universal Time),Sat Nov 15 2025 16:28:28 GMT+0000 (Coordinated Universal Time),Sat Nov 15 2025 16:29:21 GMT+0000 (Coordinated Universal Time),Template for creating comprehensive testing strategies,,templates,1,published,https://fhuocowvfrwjygxgzelw.supabase.co/storage/v1/object/public/modules/testing-strategy-template/v1/full.md,https://fhuocowvfrwjygxgzelw.supabase.co/storage/v1/object/public/modules/testing-strategy-template/v1/summary.md,https://fhuocowvfrwjygxgzelw.supabase.co/storage/v1/object/public/modules/testing-strategy-template/v1/bundle.zip
