Name,Slug,Summary,Category,Tags,Latest Version,Status,Source URL,Source Label,Download Link Full,Download Link Summary,Download Link Bundle
System Prompt Template,system-prompt-template,"A flexible template for creating effective system prompts for AI assistants",prompting,"templates; system; beginner",1,published,,,https://fhuocowvfrwjygxgzelw.supabase.co/storage/v1/object/public/modules/system-prompt-template/v1/full.md,https://fhuocowvfrwjygxgzelw.supabase.co/storage/v1/object/public/modules/system-prompt-template/v1/summary.md,https://fhuocowvfrwjygxgzelw.supabase.co/storage/v1/object/public/modules/system-prompt-template/v1/bundle.zip
Research Framework,research-framework,"Framework for conducting thorough research and documentation",research,"methodology; structure; framework",1,published,,,https://fhuocowvfrwjygxgzelw.supabase.co/storage/v1/object/public/modules/research-framework/v1/full.md,https://fhuocowvfrwjygxgzelw.supabase.co/storage/v1/object/public/modules/research-framework/v1/summary.md,https://fhuocowvfrwjygxgzelw.supabase.co/storage/v1/object/public/modules/research-framework/v1/bundle.zip
Content Strategy Guide,content-strategy-guide,"Comprehensive guide to developing and executing content strategies",writing,"strategy; planning; framework",1,draft,,,https://fhuocowvfrwjygxgzelw.supabase.co/storage/v1/object/public/modules/content-strategy-guide/v1/full.md,https://fhuocowvfrwjygxgzelw.supabase.co/storage/v1/object/public/modules/content-strategy-guide/v1/summary.md,https://fhuocowvfrwjygxgzelw.supabase.co/storage/v1/object/public/modules/content-strategy-guide/v1/bundle.zip
Debugging Best Practices,debugging-best-practices,"Essential techniques and patterns for effective software debugging",development,"debugging; troubleshooting; best-practices",1,published,,,https://fhuocowvfrwjygxgzelw.supabase.co/storage/v1/object/public/modules/debugging-best-practices/v1/full.md,https://fhuocowvfrwjygxgzelw.supabase.co/storage/v1/object/public/modules/debugging-best-practices/v1/summary.md,https://fhuocowvfrwjygxgzelw.supabase.co/storage/v1/object/public/modules/debugging-best-practices/v1/bundle.zip
Meeting Notes Template,meeting-notes-template,"Standardized template for capturing and organizing meeting information",productivity,"templates; organization; meetings",1,published,,,https://fhuocowvfrwjygxgzelw.supabase.co/storage/v1/object/public/modules/meeting-notes-template/v1/full.md,https://fhuocowvfrwjygxgzelw.supabase.co/storage/v1/object/public/modules/meeting-notes-template/v1/summary.md,https://fhuocowvfrwjygxgzelw.supabase.co/storage/v1/object/public/modules/meeting-notes-template/v1/bundle.zip
API Design Principles,api-design-principles,"Core principles for designing clean, scalable REST APIs",development,"api; design; architecture; best-practices",1,published,,,https://fhuocowvfrwjygxgzelw.supabase.co/storage/v1/object/public/modules/api-design-principles/v1/full.md,https://fhuocowvfrwjygxgzelw.supabase.co/storage/v1/object/public/modules/api-design-principles/v1/summary.md,https://fhuocowvfrwjygxgzelw.supabase.co/storage/v1/object/public/modules/api-design-principles/v1/bundle.zip
Decision Making Framework,decision-making-framework,"Structured approach to making complex business and technical decisions",methodology,"decision-making; framework; strategy",1,draft,,,https://fhuocowvfrwjygxgzelw.supabase.co/storage/v1/object/public/modules/decision-making-framework/v1/full.md,https://fhuocowvfrwjygxgzelw.supabase.co/storage/v1/object/public/modules/decision-making-framework/v1/summary.md,https://fhuocowvfrwjygxgzelw.supabase.co/storage/v1/object/public/modules/decision-making-framework/v1/bundle.zip
Knowledge Management System,knowledge-management-system,"Best practices for building personal and team knowledge bases",productivity,"organization; knowledge; system; best-practices",1,published,,,https://fhuocowvfrwjygxgzelw.supabase.co/storage/v1/object/public/modules/knowledge-management-system/v1/full.md,https://fhuocowvfrwjygxgzelw.supabase.co/storage/v1/object/public/modules/knowledge-management-system/v1/summary.md,https://fhuocowvfrwjygxgzelw.supabase.co/storage/v1/object/public/modules/knowledge-management-system/v1/bundle.zip
Testing Strategy Template,testing-strategy-template,"Template for creating comprehensive testing strategies",development,"testing; qa; templates; framework",1,published,,,https://fhuocowvfrwjygxgzelw.supabase.co/storage/v1/object/public/modules/testing-strategy-template/v1/full.md,https://fhuocowvfrwjygxgzelw.supabase.co/storage/v1/object/public/modules/testing-strategy-template/v1/summary.md,https://fhuocowvfrwjygxgzelw.supabase.co/storage/v1/object/public/modules/testing-strategy-template/v1/bundle.zip
Customer Research Methods,customer-research-methods,"Methods for conducting effective customer research and interviews",research,"research; customer; methodology; best-practices",1,draft,,,https://fhuocowvfrwjygxgzelw.supabase.co/storage/v1/object/public/modules/customer-research-methods/v1/full.md,https://fhuocowvfrwjygxgzelw.supabase.co/storage/v1/object/public/modules/customer-research-methods/v1/summary.md,https://fhuocowvfrwjygxgzelw.supabase.co/storage/v1/object/public/modules/customer-research-methods/v1/bundle.zip
